Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C103, C106, C108",0402,4,0.1uF,
"C102, C104, C107, C109, C110, C111",0603,6,10uF,
C105,0603,1,2.2uF,
D101,0805,1,PWR,
J101,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07,
PULLUP,PinHeader_1x02_P2.54mm_Vertical,1,SW_DPST_x2,
"R101, R102, R103",0402,3,4.7k,
U101,BGA9_BMM350_BOS,1,BMM350,
U102,BMI323_BOS,1,BMI323,
U103,SOT-23-3,1,XC6206PxxxMR,
